Timestamp,CleanedTImestamp,Team,Player Number,Event Type,Possession Start?,Possession Start?,Possession End?,Shot Attempt?,Shot Outcome,Kick-out?,Kick-out Winner (Team),Turnover?,Score Value,Galway Goals,Galway Points,Cork Goals,Cork Points,Total Score for Cork,Total Score for Galway,Total Possession Count for Cork(auto-calculated),Total Possession Count for Galway(auto-calculated),Productivity for Cork (auto-calculated),Productivity for Galway (auto-calculated),Notes
27:32:00,00:27:32,Galway,,Injury,No,0,No,No,N/A,No,N/A,,"0--05,2--04",0,0,0,0,5,,15,0,2.666666667,,
26:45:00,00:26:45,Cork,11,Point Scores,No,0,Yes,Yes,Point,No,N/A,,"0.06, 2.04",0,0,0,1,6,,15,0,3.333333333,,Cork scored a point
26:31:00,00:26:31,Galway,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,,"0.06, 2.04",0,0,0,0,6,,16,1,3.125,,Galway restarts after Cork point
26:28:00,00:26:28,Galway,7,Possession,No,0,No,No,N/A,No,N/A,,"0.06, 2.04",0,0,0,0,6,,16,0,3.125,,Galway player caught the ball from GK
25:35:00,00:25:35,Cork,5,Foul Committed,No,0,No,No,N/A,No,N/A,,"0.06, 2.04",0,0,0,0,6,,16,0,3.125,,Cork foul on Galway; free awarded to Galway
24:55:00,00:24:55,Galway,15,Free Kick,No,0,Yes,Yes,Wide,No,N/A,,"0.06, 2.04",0,0,0,0,6,,16,0,3.125,,Galway shot goes wide
24:46:00,00:24:46,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Cork,,"0.06, 2.04",0,0,0,0,6,,16,0,3.125,,Cork kick-out after Galway wide
24:44:00,00:24:44,Cork,4,Possession,No,0,No,No,N/A,No,N/A,,"0.06, 2.04",0,0,0,0,6,,16,0,3.125,,Cork player 4 received the kick-out
23:57,00:23:57,Galway,5,Stoppage,No,0,Yes,No,N/A,No,N/A,,"0.06, 2.04",0,0,0,0,6,,16,0,3.125,,Galway player fell; referee stopped play
23:56,00:23:56,Galway,,Free Kick,Yes,1,Yes,No,N/A,No,N/A,Yes,"0.06, 2.04",0,0,0,0,6,,16,1,3.125,,Galway long free kick to Cork territory
23:40,00:23:40,Cork,8,Possession,Yes,1,No,No,N/A,No,N/A,,"0.06, 2.04",0,0,0,0,6,,16,0,3.125,,Cork 8 caught Galway's free kick
23:30,00:23:30,Cork,17,Shot,No,0,Yes,Yes,Saved,No,N/A,,"0.06, 2.04",0,0,0,0,6,,16,0,3.125,,Cork shot saved by Galway GK
23:25,00:23:25,Galway,3,Possession,Yes,1,No,No,N/A,No,N/A,,"0.06, 2.04",0,0,0,0,6,,17,1,2.941176471,,Received pass from GK
22:59,00:22:59,Galway,4,Turnover,No,0,Yes,No,N/A,No,N/A,Yes,"0.06, 2.04",0,0,0,0,6,,17,0,2.941176471,,"Galway 4 fell, ball loose "
22:57,00:22:57,Cork,6,Possession,Yes,1,No,No,N/A,No,N/A,,"0.06, 2.04",0,0,0,0,6,,17,0,2.941176471,,Gained possession from loose ball
21:58,00:21:58,Cork,14,Point Scores,No,0,Yes,Yes,Point,No,N/A,,"0.07, 2.04",0,0,0,1,7,,17,0,3.529411765,,Cork scored a point
21:40,00:21:40,Galway,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Cork,,"0.07, 2.04",0,0,0,0,7,,18,1,3.333333333,,Galway restarts after Cork point
21:35,00:21:35,Cork,17,Possession,No,0,No,No,N/A,No,N/A,,"0.07, 2.04",0,0,0,0,7,,18,0,3.333333333,,Cork player caught the ball from Galway GK
21:23,00:21:23,Cork,9,Turnover,No,0,Yes,No,N/A,No,N/A,Yes,"0.07, 2.04",0,0,0,0,7,,18,0,3.333333333,,"Cork 9 fell, ball loose "
21:22,00:21:22,Galway,6,Possession,Yes,1,No,No,N/A,No,N/A,,"0.07, 2.04",0,0,0,0,7,,19,1,3.157894737,,Won possession by tackle
20:10,00:20:10,Cork,8,Foul Committed,No,0,No,No,N/A,No,N/A,,"0.07, 2.04",0,0,0,0,7,,19,0,3.157894737,,Cork foul on Galway; free awarded to Galway
20:06,00:20:06,Galway,10,Free Kick,No,0,Yes,Yes,Point,No,N/A,,"0.07,2.05",0,1,0,0,7,,19,0,3.157894737,,Galway scored a point
19:58,00:19:58,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,,"0.07,2.05",0,0,0,0,7,,19,0,3.157894737,,Cork kick-out after Galway point
19:54,00:19:54,Galway,8,Possession,No,0,No,No,N/A,No,N/A,,"0.07,2.05",0,0,0,0,7,,19,0,3.157894737,,Cork player 8 received the kick-out
19:10,00:19:10,Cork,19,Shot,No,0,Yes,Yes,Missed Goal,No,N/A,,"0.07,2.05",0,0,0,0,7,,19,0,3.157894737,,Cork attempted goal shot; missed net
18:57,00:18:57,Galway,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,,"0.07,2.05",0,0,0,0,7,,20,1,3,,Galway kick-out after Galway missed net
18:53,00:18:53,Galway,12,Possession,No,0,No,No,N/A,No,N/A,,"0.07,2.05",0,0,0,0,7,,20,0,3,,Galway player 12 received the kick-out
18:10,00:18:10,Galway,13,Stoppage,No,0,Yes,No,N/A,No,N/A,,"0.07,2.05",0,0,0,0,7,,20,0,3,,"Galway player fell with Cork player, ref whistle"
18:08,00:18:08,Cork,9,Possession,Yes,1,No,No,N/A,No,N/A,,"0.07,2.05",0,0,0,0,7,,20,0,3,,Cork gained loose ball after stoppage
18:04,00:18:04,Cork,9,Long Kick,No,0,Yes,No,N/A,No,N/A,,"0.07,2.05",0,0,0,0,7,,20,0,3,,Launched high ball after restart
18:00,00:18:00,Galway,6,Possession,Yes,1,No,No,N/A,No,N/A,,"0.07,2.05",0,0,0,0,7,,21,1,2.857142857,,Caught Cork's long kick
17:47,00:17:47,Galway,12,Ball out,No,0,Yes,No,N/A,No,N/A,Yes,"0.07,2.05",0,0,0,0,7,,21,0,2.857142857,,Kicked over endline
17:35,00:17:35,Cork,Goal Keeper,45m Free,Yes,1,No,No,N/A,No,N/A,,"0.07,2.05",0,0,0,0,7,,21,0,2.857142857,,45m free kick
17:33,00:17:33,Cork,9,,No,0,No,No,N/A,No,N/A,,"0.07,2.05",0,0,0,0,7,,21,0,2.857142857,,Cork player 12 received the kick-out
16:59,00:16:59,Cork,10,Point Scores,No,0,Yes,Yes,Point,No,N/A,,"0.07,2.05",0,0,0,1,7,,21,0,3.333333333,,Cork scored a point
16:38,00:16:38,Galway,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,,"0.08,2.05",0,0,0,0,8,,22,1,3.181818182,,Galway restarts after Cork point
16:35,00:16:35,Galway,7,Possession,No,0,No,No,N/A,No,N/A,,"0.08,2.05",0,0,0,0,8,,22,0,3.181818182,,Galway player caught the ball from GK
15:33,00:15:33,Cork,12,Foul Committed,No,0,No,No,N/A,No,N/A,,"0.08,2.05",0,0,0,0,8,,22,0,3.181818182,,Cork foul on Galway; free awarded to Galway
14:51,00:14:51,Galway,15,Free Kick,No,0,Yes,Yes,Wide,No,N/A,,"0.08,2.05",0,0,0,0,8,,22,0,3.181818182,,Galway shot goes wide
14:39,00:14:39,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,,"0-08, 2-06",0,1,0,0,8,,22,0,3.181818182,,
14:36,00:14:36,Cork,,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08, 2-06",0,0,0,0,8,,23,0,3.043478261,,
14:29,00:14:29,Cork,27,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08,2-06",0,0,0,0,8,,24,0,2.916666667,,
14:25,00:14:25,Cork,17,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08,2-06",0,0,0,0,8,,25,0,2.8,,
14:14,00:14:14,Cork,,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08,2-06",0,0,0,0,8,,26,0,2.692307692,,
14:09,00:14:09,Cork,,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08,2-06",0,0,0,0,8,,27,0,2.592592593,,
14:07,00:14:07,Cork,,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08,2-06",0,0,0,0,8,,28,0,2.5,,
14:04,00:14:04,Galway,,Shot,Yes,1,Yes,Yes,Wide,No,N/A,Yes,"0-08, 2-06",0,0,0,0,8,,29,1,2.413793103,,
13:58,00:13:58,Cork,Goal Keeper,Kick out,No,0,Yes,No,N/A,Yes,Galways,Yes,"0-08, 2-06",0,0,0,0,8,,29,0,2.413793103,,ball won by galway after cork kickout
13:48,00:13:48,Galway,,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08, 2-06",0,0,0,0,8,,30,1,2.333333333,,
13:44,00:13:44,Galway,17,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08, 2-06",0,0,0,0,8,,30,1,2.333333333,,
13:38,00:13:38,Galway,11,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08, 2-06",0,0,0,0,8,,30,1,2.333333333,,
13:26,00:13:26,Galway,14,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08, 2-06",0,0,0,0,8,,30,1,2.333333333,,pass
13:19,00:13:19,Cork,3,Turnover,Yes,1,Yes,,N/A,No,N/A,Yes,"0-08, 2-06",0,0,0,0,8,,30,0,2.333333333,,"turnover, cork won the ball"
13:14,00:13:14,Cork,12,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08, 2-06",0,0,0,0,8,,31,0,2.258064516,,
13:07,00:13:07,Cork,12,Foul Committed,No,0,No,No,N/A,No,N/A,Yes,"0-08, 2-06",0,0,0,0,8,,31,0,2.258064516,,galway commited a foul
13:03,00:13:03,Galway,,Free Kick,Yes,1,No,No,N/A,No,N/A,Yes,"0-08, 2-06",0,0,0,0,8,,32,1,2.1875,,
12:55,00:12:55,Galway,2,Possession,Yes,1,No,No,N/A,No,N/A,,"0-08, 2-06",0,0,0,0,8,,32,1,2.1875,,pass made
12:00,00:12:00,Galway,6,Possession,Yes,1,No,No,N/A,No,N/A,No,"0-08, 2-06",0,0,0,0,8,,32,1,2.1875,,pass made
11:34,00:11:34,Cork,12,Turnover,Yes,1,Yes,No,N/A,No,N/A,Yes,"0-08, 2-06",0,0,0,0,8,,32,0,2.1875,,ball won by cork - turnover
10:42,00:10:42,Cork,21,Goal,Yes,1,Yes,Yes,Wide,No,N/A,,"0-08, 2-06",0,0,0,0,8,,33,0,2.121212121,,ball goes over the bar
10:30,00:10:30,Galway,goal keeper,Kick Out,Yes,1,No,No,N/A,No,Galway,No,"0-08, 2-06",0,0,0,0,8,,34,1,2.058823529,,
10:12,00:10:12,Galway,18,Possession,Yes,1,No,No,N/A,No,N/A,No,"0-08, 2-06",0,0,0,0,8,,34,1,2.058823529,,
09:49,00:09:49,Galway,6,Foul Committed,Yes,1,Yes,No,N/A,No,N/A,,"0-08, 2-06",0,0,0,0,8,,34,1,2.058823529,,foul commited by cork
